href,ID,location,ethnicity,sex,age,age group,education,community type,accent
https://search.library.wisc.edu/digital/AWSJJLXSPQ5JUA8B,IL134,"['Greenup', 'Illinois']",White,female,72,(old),college,village,Midland
https://search.library.wisc.edu/digital/AXQLM4B5WH5VJN8F,IL135,"['Greenup', 'Illinois']",White,female,51,(middle-aged),college,village,Midland
https://search.library.wisc.edu/digital/A5PYB65KXFLX7D8P,IL136,"['Greenup', 'Illinois']",White,female,43,(middle-aged),high school,village,Midland
https://search.library.wisc.edu/digital/ANRTQ4KLIZ5BGD9E,IL137,"['Chicago', 'Illinois']",Black,female,27,(young),some high school,urban,North
https://search.library.wisc.edu/digital/AEOJYFH5AZLM2R8T,IL140,"['Chicago', 'Illinois']",Black,female,23,(young),some high school,urban,North
https://search.library.wisc.edu/digital/AEWCHSJTQS4V5X87,IL141,"['Olney', 'Illinois']",White,female,44,(middle-aged),college,village,Midland
https://search.library.wisc.edu/digital/APXZSZMDE7RRSJ8V,IL142,"['Olney', 'Illinois']",White,male,48,(middle-aged),college,rural,Midland
https://search.library.wisc.edu/digital/AC5ZYDIIQTZJJQ8T,IL143,"['Olney', 'Illinois']",White,female,65,(old),high school,village,Midland
https://search.library.wisc.edu/digital/ACBGNI32I7IRJD87,IL145,"['Chicago', 'Illinois']",Black,male,29,(young),high school,urban,North
https://search.library.wisc.edu/digital/A6MJD27L5652469B,IN001,"['Lafayette', 'Indiana']",White,female,23,(young),college with graduate work,small city,Midland
https://search.library.wisc.edu/digital/ALQJMLOM7RDE5T8F,IN003,"['Corydon', 'Indiana']",White,female,67,(old),some high school,village,South
https://search.library.wisc.edu/digital/AKAGOXCKBXU7VI8Y,IN005,"['Corydon', 'Indiana']",White,female,55,(middle-aged),college,village,South
https://search.library.wisc.edu/digital/ASBI2NV7O7LX6S8R,IN007,"['Salem', 'Indiana']",White,female,74,(old),college,village,South
https://search.library.wisc.edu/digital/APIY5LGWYGUD4V9D,IN008,"['Salem', 'Indiana']",White,male,89,(old),college,village,South
https://search.library.wisc.edu/digital/A66JE5U4J7NKYI8X,IN009,"['Salem', 'Indiana']",White,male,65,(old),8th grade,village,South
https://search.library.wisc.edu/digital/AMGU2ICLX6ZKFH8Y,IN010,"['Salem', 'Indiana']",White,female,80,(old),some college,village,South
https://search.library.wisc.edu/digital/A2MJMQSKY7VL2P83,IN011,"['Hanover', 'Indiana']",White,male,69,(old),7th grade,rural,Midland
https://search.library.wisc.edu/digital/AC2OSUXY34D6ZQ8X,IN012,"['Hanover', 'Indiana']",White,female,85,(old),8th grade,rural,South
https://search.library.wisc.edu/digital/ADM47BWMEV4FQO8R,IN013,"['Hanover', 'Indiana']",White,male,69,(old),8th grade,rural,South
https://search.library.wisc.edu/digital/AGAPWXFX6CUXO38K,IN014,"['Hanover', 'Indiana']",White,female,61,(old),some high school,rural,South
https://search.library.wisc.edu/digital/API3IKL4HM7FTV8G,IN015,"['Vevay', 'Indiana']",White,female,58,(old),some college,village,Midland
https://search.library.wisc.edu/digital/AFFB7BL5XF5I6W8E,IN016,"['Vevay', 'Indiana']",White,female,60,(old),college with graduate work,village,Midland
https://search.library.wisc.edu/digital/A5T4X7UEZYI64D8I,IN017,"['Vevay', 'Indiana']",White,male,65,(old),college,village,Midland
https://search.library.wisc.edu/digital/AEFIBIOCXP62769C,IN018,"['Vevay', 'Indiana']",White,male,82,(old),some high school,village,Midland
https://search.library.wisc.edu/digital/AVVKRY3MCKHOTE83,IN019,"['Versailles', 'Indiana']",White,female,78,(old),some college,village,Midland
https://search.library.wisc.edu/digital/A35Y4F5IF5YJJB83,IN023,"['Delphi', 'Indiana']",White,female,78,(old),8th grade,village,Midland
