href,ID,location,ethnicity,sex,age,age group,education,community type,accent
https://search.library.wisc.edu/digital/AQZODMW7FGHKOT9C,PA031,"['Kennett Square', 'Pennsylvania']",White,female,78,(old),high school,small city,Midland
https://search.library.wisc.edu/digital/AMURI7JML5RSEF8A,PA035,"['Kennett Square', 'Pennsylvania']",White,male,71,(old),high school,small city,Midland
https://search.library.wisc.edu/digital/ASKF274E5CN5V69E,PA042,"['Lehighton', 'Pennsylvania']",White,male,65,(old),high school,village,Midland
https://search.library.wisc.edu/digital/AZS4UCBMXDCPF28J,PA044,"['Lehighton', 'Pennsylvania']",White,male,68,(old),high school,village,Midland
https://search.library.wisc.edu/digital/AMFFHJGFS6ALRT8U,PA049,"['Doylestown', 'Pennsylvania']",White,female,65,(old),college,small city,Midland
https://search.library.wisc.edu/digital/AV5O2JH3CXI3HS8N,PA054,"['Quakertown', 'Pennsylvania']",White,female,72,(old),college,village,Midland
https://search.library.wisc.edu/digital/ADOAN6EIDYLVGL9E,PA060,"['Stroudsburg', 'Pennsylvania']",White,female,85,(old),high school,village,Midland
https://search.library.wisc.edu/digital/AZN27GGO6YSR328P,PA066,"['Chester', 'Pennsylvania']",Black,female,20,(young),high school,small city,Midland
https://search.library.wisc.edu/digital/ARRGCS6PB6KDMF9E,PA067,"['Laporte', 'Pennsylvania']",White,female,79,(old),college,rural,North
https://search.library.wisc.edu/digital/A43SH6QRHMKQ5585,PA068,"['Laporte', 'Pennsylvania']",White,female,48,(middle-aged),high school,rural,North
https://search.library.wisc.edu/digital/ABYJYLO5VRUEQN9C,PA069,"['Laporte', 'Pennsylvania']",White,male,55,(middle-aged),high school,rural,North
https://search.library.wisc.edu/digital/ALGL3P7RDAUGNN8M,PA070,"['Washington', 'Pennsylvania']",White,male,83,(old),7th grade,small city,Midland
https://search.library.wisc.edu/digital/AK6IFIWS2VWPTR8P,PA071,"['Washington', 'Pennsylvania']",White,male,70,(old),college,rural,Midland
https://search.library.wisc.edu/digital/A357HTNU3IGTYU9B,PA072,"['Lewistown', 'Pennsylvania']",White,female,25,(young),high school,small city,Midland
https://search.library.wisc.edu/digital/API6F4J4WSQB2W8K,PA074,"['Greensburg', 'Pennsylvania']",White,female,50,(middle-aged),high school,small city,Midland
https://search.library.wisc.edu/digital/AJNQWNVERIGWAO8J,PA076,"['Pittsburgh', 'Pennsylvania']",White,male,23,(young),college,large city,Midland
https://search.library.wisc.edu/digital/AGJFZVPMRJO37R8A,PA077,"['Pittsburgh', 'Pennsylvania']",White,female,76,(old),4th grade,large city,Midland
https://search.library.wisc.edu/digital/AHZFC6EF53QNCA8S,PA087,"['West Newton', 'Pennsylvania']",White,female,19,(young),high school,village,Midland
https://search.library.wisc.edu/digital/A7CZHCBBHUW7FV9B,PA088,"['Philadelphia', 'Pennsylvania']",White,female,78,(old),high school,urban,Midland
https://search.library.wisc.edu/digital/A5GQTEKQB2LTEF9A,PA090,"['Philadelphia', 'Pennsylvania']",White,female,82,(old),grade school,urban,Midland
https://search.library.wisc.edu/digital/AA4ZGYPY7ANQG386,PA091,"['Philadelphia', 'Pennsylvania']",White,female,82,(old),high school,urban,Midland
https://search.library.wisc.edu/digital/AIRUE7OV5WZUEK84,PA093,"['Pittsburgh', 'Pennsylvania']",White,female,21,(young),college,large city,Midland
https://search.library.wisc.edu/digital/AN34LBZYWIT4268F,PA094,"['Pittsburgh', 'Pennsylvania']",White,male,27,(young),college,large city,Midland
https://search.library.wisc.edu/digital/A56RJYOC5NMPX383,PA095,"['Pittsburgh', 'Pennsylvania']",White,male,60,(old),college,large city,Midland
https://search.library.wisc.edu/digital/ACRKWYYD66FNTX8E,PA096,"['Philadelphia', 'Pennsylvania']",White,female,79,(old),8th grade,urban,Midland
https://search.library.wisc.edu/digital/ARLKDBBVZOB5W687,PA097,"['Philadelphia', 'Pennsylvania']",White,female,80,(old),grade school,urban,Midland
https://search.library.wisc.edu/digital/AXF56VXXPCXHUY8N,PA104,"['Montrose', 'Pennsylvania']",White,male,85,(old),high school,village,North
https://search.library.wisc.edu/digital/AFHXEO6UZLRVPE8U,PA105,"['Berwick', 'Pennsylvania']",White,female,74,(old),high school,small city,Midland
https://search.library.wisc.edu/digital/ATTUEIRNKKSSO383,PA108,"['Berwick', 'Pennsylvania']",White,male,65,(old),college,small city,Midland
